compound_id,simstd_hiqbind,ik1_hiqbind
C7C422_CHEMBL5428850,0.2603,False
C7C422_CHEMBL5417591,0.1875,False
C7C422_CHEMBL5439975,0.3511,False
C7C422_CHEMBL5417195,0.3394,False
C7C422_CHEMBL5432778,0.3538,False
C7C422_CHEMBL5413714,0.5479,False
C7C422_CHEMBL5437131,0.3845,False
C7C422_CHEMBL5410303,0.5,False
C7C422_CHEMBL5403178,0.4221,False
C7C422_CHEMBL5427511,0.3333,False
C7C422_CHEMBL5423006,0.3572,False
C7C422_CHEMBL5436726,0.375,False
C7C422_CHEMBL5402652,0.3889,False
C7C422_CHEMBL5435754,0.4468,False
C7C422_CHEMBL5432742,0.4375,False
C7C422_CHEMBL5413366,0.3823,False
C7C422_CHEMBL5429713,0.3279,False
C7C422_CHEMBL5394208,0.3381,False
C7C422_CHEMBL5409129,0.3501,False
C7C422_CHEMBL5431449,0.4375,False
C7C422_CHEMBL5424977,0.2568,False
C7C422_CHEMBL5412136,0.3264,False
C7C422_CHEMBL5412587,0.3401,False
C7C422_CHEMBL5436857,0.3279,False
C7C422_CHEMBL5421632,0.3704,False
C7C422_CHEMBL5416932,0.3401,False
C7C422_CHEMBL5409968,0.3542,False
C7C422_CHEMBL5424619,0.3508,False
C7C422_CHEMBL5426400,0.5366,False
C7C422_CHEMBL5414788,0.4773,False
C7C422_CHEMBL5423672,0.4468,False
C7C422_CHEMBL5434080,0.3621,False
C7C422_CHEMBL5418994,0.4666,False
C7C422_CHEMBL5393815,0.4468,False
C7C422_CHEMBL5408921,0.4468,False
C7C422_CHEMBL5415172,0.4119,False
C7C422_CHEMBL5405077,0.4893,False
C7C422_CHEMBL5394233,0.4565,False
C7C422_CHEMBL5421999,0.4565,False
C7C422_CHEMBL5437270,0.375,False
C7C422_CHEMBL5421395,0.3501,False
C7C422_CHEMBL5437627,0.3914,False
C7C422_CHEMBL5401063,0.3721,False
C7C422_CHEMBL5395915,0.4761,False
C7C422_CHEMBL5421154,0.4146,False
C7C422_CHEMBL5396318,0.2856,False
C7C422_CHEMBL5431286,0.3052,False
C7C422_CHEMBL5425633,0.3289,False
C7C422_CHEMBL5413869,0.3472,False
O00444_CHEMBL5415514,0.4839,False
O00444_CHEMBL5406293,0.4546,False
O00444_CHEMBL5408339,0.4688,False
O00444_CHEMBL5428085,0.343,False
O00444_CHEMBL5438941,0.4788,False
O00444_CHEMBL5409987,0.4167,False
O00444_CHEMBL5427137,0.4167,False
O00444_CHEMBL5427658,0.4922,False
O00444_CHEMBL5410628,0.3225,False
O00444_CHEMBL5407680,0.3225,False
O00444_CHEMBL5418921,0.353,False
O00444_CHEMBL5441117,0.3225,False
O00444_CHEMBL5396900,0.2874,False
O00444_CHEMBL5438910,0.4844,False
O00444_CHEMBL5399402,0.353,False
O00444_CHEMBL5416099,0.3547,False
O00444_CHEMBL5439625,0.4534,False
O00444_CHEMBL5394160,0.366,False
O00444_CHEMBL5440186,0.5073,False
O00444_CHEMBL5407899,0.3389,False
O00444_CHEMBL5399219,0.5083,False
O00444_CHEMBL5439296,0.3232,False
O00444_CHEMBL5401624,0.3137,False
O00444_CHEMBL5433061,0.4055,False
O00444_CHEMBL5439723,0.3293,False
O00444_CHEMBL5434198,0.3394,False
O00444_CHEMBL5424061,0.3901,False
O00444_CHEMBL5401850,0.3181,False
O00444_CHEMBL5432215,0.3411,False
O00444_CHEMBL5437830,0.3479,False
O00444_CHEMBL5438958,0.3284,False
O00444_CHEMBL5423452,0.3457,False
