compound_id,simstd_sair,ik1_sair
C7C422_CHEMBL5428850,1.0,True
C7C422_CHEMBL5417591,0.366,False
C7C422_CHEMBL5439975,0.4624,False
C7C422_CHEMBL5417195,1.0,True
C7C422_CHEMBL5432778,0.7754,False
C7C422_CHEMBL5413714,0.75,False
C7C422_CHEMBL5437131,0.6069,False
C7C422_CHEMBL5410303,0.3906,False
C7C422_CHEMBL5403178,1.0,True
C7C422_CHEMBL5427511,1.0,True
C7C422_CHEMBL5423006,0.7886,False
C7C422_CHEMBL5436726,1.0,True
C7C422_CHEMBL5402652,1.0,True
C7C422_CHEMBL5435754,1.0,True
C7C422_CHEMBL5432742,1.0,True
C7C422_CHEMBL5413366,0.3889,False
C7C422_CHEMBL5429713,1.0,True
C7C422_CHEMBL5394208,0.4153,False
C7C422_CHEMBL5409129,0.4126,False
C7C422_CHEMBL5431449,0.46,False
C7C422_CHEMBL5424977,0.373,False
C7C422_CHEMBL5412136,0.5869,False
C7C422_CHEMBL5412587,1.0,True
C7C422_CHEMBL5436857,1.0,True
C7C422_CHEMBL5421632,1.0,True
C7C422_CHEMBL5416932,1.0,True
C7C422_CHEMBL5409968,1.0,True
C7C422_CHEMBL5424619,1.0,True
C7C422_CHEMBL5426400,1.0,True
C7C422_CHEMBL5414788,1.0,True
C7C422_CHEMBL5423672,1.0,True
C7C422_CHEMBL5434080,1.0,True
C7C422_CHEMBL5418994,1.0,True
C7C422_CHEMBL5393815,1.0,True
C7C422_CHEMBL5408921,1.0,True
C7C422_CHEMBL5415172,1.0,True
C7C422_CHEMBL5405077,1.0,True
C7C422_CHEMBL5394233,1.0,True
C7C422_CHEMBL5421999,1.0,True
C7C422_CHEMBL5437270,1.0,True
C7C422_CHEMBL5421395,0.4917,False
C7C422_CHEMBL5437627,0.7075,False
C7C422_CHEMBL5401063,0.6138,False
C7C422_CHEMBL5395915,0.521,False
C7C422_CHEMBL5421154,0.5684,False
C7C422_CHEMBL5396318,0.3621,False
C7C422_CHEMBL5431286,0.3708,False
C7C422_CHEMBL5425633,0.373,False
C7C422_CHEMBL5413869,0.373,False
O00444_CHEMBL5415514,0.4575,False
O00444_CHEMBL5406293,0.4783,False
O00444_CHEMBL5408339,0.4688,False
O00444_CHEMBL5428085,1.0,True
O00444_CHEMBL5438941,0.7617,False
O00444_CHEMBL5409987,0.7998,False
O00444_CHEMBL5427137,1.0,True
O00444_CHEMBL5427658,0.8071,False
O00444_CHEMBL5410628,0.7666,False
O00444_CHEMBL5407680,1.0,True
O00444_CHEMBL5418921,1.0,True
O00444_CHEMBL5441117,0.7666,False
O00444_CHEMBL5396900,1.0,True
O00444_CHEMBL5438910,0.4844,False
O00444_CHEMBL5399402,1.0,True
O00444_CHEMBL5416099,0.8428,False
O00444_CHEMBL5439625,0.7969,False
O00444_CHEMBL5394160,0.7163,False
O00444_CHEMBL5440186,0.45,False
O00444_CHEMBL5407899,0.8071,False
O00444_CHEMBL5399219,0.4492,False
O00444_CHEMBL5439296,0.3667,False
O00444_CHEMBL5401624,1.0,True
O00444_CHEMBL5433061,0.7744,False
O00444_CHEMBL5439723,0.8306,False
O00444_CHEMBL5434198,1.0,True
O00444_CHEMBL5424061,0.8184,False
O00444_CHEMBL5401850,1.0,True
O00444_CHEMBL5432215,0.8252,False
O00444_CHEMBL5437830,0.7881,False
O00444_CHEMBL5438958,0.8569,False
O00444_CHEMBL5423452,0.8306,False
O00444_CHEMBL5404860,0.8569,False
O00444_CHEMBL5440423,0.8999,False
O00444_CHEMBL5437782,0.8569,False
O00444_CHEMBL5421379,0.8438,False
O00444_CHEMBL5410573,0.8184,False
O00444_CHEMBL5410589,0.8438,False
O00444_CHEMBL5395499,0.915,False
O00444_CHEMBL5411283,0.8438,False
O00444_CHEMBL5394214,1.0,True
O00444_CHEMBL5424982,0.8438,False
O00444_CHEMBL5409586,0.8438,False
O00444_CHEMBL5430398,0.8569,False
O00444_CHEMBL5415639,0.8306,False
O00444_CHEMBL5431124,1.0,True
O00444_CHEMBL5440224,0.7856,False
O00444_CHEMBL5420676,0.8711,False
O00444_CHEMBL5439579,0.8208,False
O00444_CHEMBL5421662,1.0,True
O00444_CHEMBL5424261,0.8252,False
O00444_CHEMBL5420664,0.729,False
O00444_CHEMBL5418913,0.7456,False
O00444_CHEMBL5407522,0.875,False
O00444_CHEMBL5397303,1.0,True
O00444_CHEMBL5432162,1.0,True
O00444_CHEMBL5400736,1.0,True
O00444_CHEMBL5426828,1.0,True
O00444_CHEMBL5404983,1.0,True
O00444_CHEMBL5432542,1.0,True
O00444_CHEMBL5399648,1.0,True
O00444_CHEMBL5420150,1.0,True
O00444_CHEMBL5402864,1.0,True
O00444_CHEMBL5439790,1.0,True
O00444_CHEMBL5423111,1.0,True
O00444_CHEMBL5408496,1.0,True
O00444_CHEMBL5425999,1.0,True
O00444_CHEMBL5424704,1.0,True
O00444_CHEMBL5439446,1.0,True
O00444_CHEMBL5420852,1.0,True
O00444_CHEMBL5435158,1.0,True
O00444_CHEMBL5424463,1.0,True
O00444_CHEMBL5429187,1.0,True
O00444_CHEMBL5429940,0.8667,False
O00444_CHEMBL5397250,1.0,True
O00444_CHEMBL5435416,1.0,True
O00444_CHEMBL5409434,1.0,True
O00444_CHEMBL5438019,1.0,True
O00444_CHEMBL5430106,1.0,True
O00444_CHEMBL5418250,1.0,True
O00444_CHEMBL5429009,1.0,True
O00444_CHEMBL5396416,1.0,True
O00444_CHEMBL5425790,1.0,True
O00444_CHEMBL5405656,1.0,True
O00444_CHEMBL5420682,0.5488,False
O00444_CHEMBL5433109,0.5547,False
O00444_CHEMBL5410922,0.5654,False
O00444_CHEMBL5435903,0.5654,False
O00444_CHEMBL5423103,0.5283,False
O00444_CHEMBL5434630,0.5332,False
O00444_CHEMBL5413470,0.5435,False
O00444_CHEMBL5435948,0.5435,False
O00444_CHEMBL5438512,0.5386,False
O00444_CHEMBL5431008,0.5386,False
O00444_CHEMBL5396799,0.5386,False
O00444_CHEMBL5401859,0.5386,False
O00444_CHEMBL5436294,0.5386,False
O00444_CHEMBL5397574,0.5386,False
O00444_CHEMBL5422161,0.5386,False
O00444_CHEMBL5396625,0.5386,False
O00444_CHEMBL5407696,0.5435,False
O00444_CHEMBL5408998,0.5488,False
O00444_CHEMBL5402930,0.5283,False
O00444_CHEMBL5440306,0.5332,False
O00444_CHEMBL5430793,0.5386,False
O00444_CHEMBL5430165,0.5435,False
O00444_CHEMBL5405221,0.5654,False
O00444_CHEMBL5432601,0.5532,False
O00444_CHEMBL5434881,0.5234,False
