compound_id,simstd_selfcontrol,ik1_selfcontrol
C7C422_CHEMBL5428850,1.0,True
C7C422_CHEMBL5417591,1.0,True
C7C422_CHEMBL5439975,1.0,True
C7C422_CHEMBL5417195,1.0,True
C7C422_CHEMBL5432778,1.0,True
C7C422_CHEMBL5413714,1.0,True
C7C422_CHEMBL5437131,1.0,True
C7C422_CHEMBL5410303,1.0,True
C7C422_CHEMBL5403178,1.0,True
C7C422_CHEMBL5427511,1.0,True
C7C422_CHEMBL5423006,1.0,True
C7C422_CHEMBL5436726,1.0,True
C7C422_CHEMBL5402652,1.0,True
C7C422_CHEMBL5435754,1.0,True
C7C422_CHEMBL5432742,1.0,True
C7C422_CHEMBL5413366,1.0,True
C7C422_CHEMBL5429713,1.0,True
C7C422_CHEMBL5394208,1.0,True
C7C422_CHEMBL5409129,1.0,True
C7C422_CHEMBL5431449,1.0,True
C7C422_CHEMBL5424977,1.0,True
C7C422_CHEMBL5412136,1.0,True
C7C422_CHEMBL5412587,1.0,True
C7C422_CHEMBL5436857,1.0,True
C7C422_CHEMBL5421632,1.0,True
C7C422_CHEMBL5416932,1.0,True
C7C422_CHEMBL5409968,1.0,True
C7C422_CHEMBL5424619,1.0,True
C7C422_CHEMBL5426400,1.0,True
C7C422_CHEMBL5414788,1.0,True
C7C422_CHEMBL5423672,1.0,True
C7C422_CHEMBL5434080,1.0,True
C7C422_CHEMBL5418994,1.0,True
C7C422_CHEMBL5393815,1.0,True
C7C422_CHEMBL5408921,1.0,True
C7C422_CHEMBL5415172,1.0,True
C7C422_CHEMBL5405077,1.0,True
C7C422_CHEMBL5394233,1.0,True
C7C422_CHEMBL5421999,1.0,True
C7C422_CHEMBL5437270,1.0,True
C7C422_CHEMBL5421395,1.0,True
C7C422_CHEMBL5437627,1.0,True
C7C422_CHEMBL5401063,1.0,True
C7C422_CHEMBL5395915,1.0,True
C7C422_CHEMBL5421154,1.0,True
C7C422_CHEMBL5396318,1.0,True
C7C422_CHEMBL5431286,1.0,True
C7C422_CHEMBL5425633,1.0,True
C7C422_CHEMBL5413869,1.0,True
O00444_CHEMBL5415514,1.0,True
O00444_CHEMBL5406293,1.0,True
O00444_CHEMBL5408339,1.0,True
O00444_CHEMBL5428085,1.0,True
O00444_CHEMBL5438941,1.0,True
O00444_CHEMBL5409987,1.0,True
O00444_CHEMBL5427137,1.0,True
O00444_CHEMBL5427658,1.0,True
O00444_CHEMBL5410628,1.0,True
O00444_CHEMBL5407680,1.0,True
O00444_CHEMBL5418921,1.0,True
O00444_CHEMBL5441117,1.0,True
O00444_CHEMBL5396900,1.0,True
O00444_CHEMBL5438910,1.0,True
O00444_CHEMBL5399402,1.0,True
O00444_CHEMBL5416099,1.0,True
O00444_CHEMBL5439625,1.0,True
O00444_CHEMBL5394160,1.0,True
O00444_CHEMBL5440186,1.0,True
O00444_CHEMBL5407899,1.0,True
O00444_CHEMBL5399219,1.0,True
O00444_CHEMBL5439296,1.0,True
O00444_CHEMBL5401624,1.0,True
