model,tau_all,tau_minus similarity hits,tau_minus on-target labels,rho_all,rho_minus similarity hits,rho_minus on-target labels,r_all,r_minus similarity hits,r_minus on-target labels
Boltz2 + FLOWR.ROOT,0.513,0.431,0.425,0.704,0.612,0.607,0.704,0.614,0.613
Boltz2,0.489,0.419,0.417,0.67,0.586,0.585,0.67,0.585,0.585
FLOWR.ROOT,0.486,0.393,0.387,0.669,0.549,0.546,0.661,0.55,0.552
LCDD-team,0.449,0.343,0.353,0.628,0.496,0.508,0.615,0.5,0.506
Graph_RG,0.444,0.369,0.37,0.632,0.541,0.543,0.576,0.506,0.497
MixingDTA,0.414,0.358,0.358,0.587,0.519,0.519,0.597,0.543,0.539
MFE,0.409,0.328,0.317,0.574,0.474,0.455,0.613,0.542,0.516
FlowDock,0.346,0.286,0.275,0.49,0.422,0.406,0.462,0.424,0.406
DeepDTA,0.336,0.235,0.24,0.475,0.326,0.334,0.485,0.36,0.366
LLF,0.333,0.211,0.22,0.467,0.304,0.312,0.484,0.321,0.326
