corpus,series,corpus_rows_on_target,corpus_ligands_on_target,triple_strict,triple_loose,triple_with_label
chembl34,L1000,726,643,1,1,1
chembl34,L3000,2645,1691,2,2,1
bindingdb,L1000,1,1,1,1,1
bindingdb,L3000,22,20,19,20,19
bindingnet,L1000,555,473,1,1,1
bindingnet,L3000,879,824,1,1,1
sair,L1000,2026,430,0,0,0
sair,L3000,6376,1771,13,14,13
hiqbind,L1000,8,8,0,0,0
hiqbind,L3000,13,12,0,0,0
spindr,L1000,10,8,0,0,0
spindr,L3000,0,0,0,0,0
bindingmoad,L1000,6,6,0,0,0
bindingmoad,L3000,12,11,0,0,0
pdbbind2020_general,L1000,8,8,0,0,0
pdbbind2020_general,L3000,15,15,0,0,0
pdbbind2020_refined,L1000,3,3,0,0,0
pdbbind2020_refined,L3000,0,0,0,0,0
plinder,L1000,0,0,0,0,0
plinder,L3000,0,0,0,0,0
kinodata,L1000,0,0,0,0,0
kinodata,L3000,0,0,0,0,0
kiba3d,L1000,0,0,0,0,0
kiba3d,L3000,0,0,0,0,0
davis3d,L1000,0,0,0,0,0
davis3d,L3000,0,0,0,0,0
omol25,L1000,0,0,0,0,0
omol25,L3000,0,0,0,0,0
