Model,N_total,N_targets,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2,Pearson_lo,Pearson_hi,Spearman_lo,Spearman_hi,CI_lo,CI_hi
ensemble,7650,84,0.9929,1.0703,0.4411,0.4265,0.3043,0.6524,0.1986,0.3814,0.4997,0.3678,0.484,0.6302,0.6743
flowr_root,7650,84,0.9026,0.8763,0.4405,0.4209,0.3006,0.6506,0.2102,0.3813,0.5009,0.3614,0.4831,0.6291,0.6732
boltz2,7650,84,1.2869,1.805,0.3349,0.325,0.2274,0.6141,0.1182,0.2743,0.3945,0.2678,0.3826,0.5935,0.6352
llf,7650,84,1.4649,2.5085,0.1941,0.1918,0.1313,0.5658,0.0613,0.1384,0.2447,0.1362,0.2422,0.547,0.5829
mfe,7650,84,1.2617,1.7399,0.1678,0.1444,0.0994,0.5499,0.0574,0.1092,0.2231,0.0806,0.2015,0.5281,0.5705
flowdock,7650,84,1.3508,2.1325,0.1546,0.1433,0.1003,0.5503,0.0548,0.0874,0.2199,0.0807,0.2068,0.5303,0.5727
bapred,7650,84,1.2771,1.7652,0.1491,0.128,0.0887,0.5445,0.0406,0.0769,0.2114,0.0683,0.1822,0.5231,0.5629
mixingdta,7650,84,1.2865,1.8147,0.1454,0.1354,0.0937,0.547,0.0557,0.0816,0.2051,0.0771,0.1919,0.5258,0.5669
deepdta,7650,84,1.4714,2.4155,0.13,0.1293,0.0892,0.5446,0.0435,0.0707,0.1868,0.0722,0.1872,0.5251,0.5628
haiping,7650,84,1.3345,1.9294,0.1127,0.095,0.0645,0.5324,0.038,0.0532,0.1708,0.0403,0.1483,0.5129,0.5499
