Target_class,n_targets,n_compounds,boltz2,flowr_root,flowdock,haiping,mfe,bapred,llf,mixingdta,deepdta,ensemble
Lyase,5,1004,0.3179,0.5123,0.1593,0.2117,0.1239,0.1842,0.1253,0.2545,0.1484,0.4617
Transferase,4,781,0.2934,0.3233,0.1919,0.1831,0.2422,0.3153,0.2567,0.2013,0.2445,0.351
Kinase,16,702,0.3882,0.3527,0.236,0.1846,0.1507,0.1282,0.22,0.2361,0.2097,0.4249
Family A G protein-coupled receptor,14,669,0.4162,0.4923,0.0358,0.1058,0.1725,0.0096,0.3135,0.1325,0.0975,0.5593
Epigenetic regulator,7,423,0.4482,0.3579,0.3346,0.2106,0.3046,0.2046,0.3857,0.1552,0.1579,0.4387
Hydrolase,7,376,0.3621,0.4623,0.2949,-0.0196,0.2918,0.2905,0.2109,0.1088,0.2403,0.4852
Transcription factor,5,192,-0.1882,0.0431,0.1204,0.0315,0.1636,-0.0787,-0.1133,-0.2118,-0.2634,-0.1134
Oxidoreductase,3,178,0.2713,0.493,0.2373,0.1086,0.0692,-0.0178,-0.0077,-0.0251,-0.0724,0.4696
Unclassified protein,4,144,0.0699,0.108,0.0118,0.0708,-0.1588,0.0358,0.2291,0.2359,0.2059,0.098
Ion channel,2,126,0.2253,0.1306,-0.0261,0.0542,0.0025,0.0392,0.0027,0.0752,0.1111,0.2213
Other nuclear protein,1,88,0.801,0.886,0.75,0.431,0.772,0.762,0.81,0.831,0.773,0.892
Transporter,1,83,0.153,0.263,0.436,0.126,0.054,-0.088,0.104,0.013,-0.029,0.272
Protease,1,40,0.305,0.306,0.108,0.042,0.084,-0.121,0.62,0.243,0.048,0.391
Cytochrome p450,1,36,-0.5,-0.373,-0.722,-0.656,-0.625,-0.516,-0.49,-0.739,-0.692,-0.514
Phosphatase,1,32,0.335,0.319,0.413,0.056,0.241,0.213,-0.007,0.449,0.157,0.343
