threshold,model,n_pairs,n_targets,pearson,pearson_lo,pearson_hi,spearman,spearman_lo,spearman_hi,kendall,kendall_lo,kendall_hi,ci,ci_lo,ci_hi,mae,mae_lo,mae_hi
none,boltz2,7650,84,0.3234,0.2598,0.3858,0.3058,0.2467,0.3635,0.2158,0.1714,0.2587,0.6082,0.5885,0.6289,1.1245,1.0332,1.2223
none,flowr_root,7650,84,0.4236,0.3651,0.4837,0.3958,0.3364,0.4565,0.2838,0.2398,0.3285,0.6423,0.6195,0.6636,0.7217,0.6753,0.7732
none,flowdock,7650,84,0.1502,0.0864,0.2111,0.138,0.082,0.1928,0.0975,0.0573,0.1372,0.5489,0.5296,0.5685,1.2766,1.1507,1.416
none,haiping,7650,84,0.1176,0.0573,0.177,0.0984,0.0424,0.1584,0.0703,0.0312,0.1095,0.5353,0.5147,0.5548,1.1052,1.0271,1.1901
none,mfe,7650,84,0.155,0.0927,0.212,0.1392,0.0802,0.1944,0.0961,0.0569,0.1355,0.5482,0.5283,0.5672,1.1132,1.0261,1.2022
none,bapred,7650,84,0.1199,0.0567,0.1841,0.1117,0.0559,0.1698,0.0787,0.0401,0.1162,0.5395,0.5205,0.5589,1.1042,1.0212,1.1905
none,llf,7650,84,0.1929,0.1388,0.2437,0.177,0.1267,0.2279,0.1221,0.0886,0.1561,0.5612,0.5435,0.5787,1.3226,1.1818,1.4727
none,mixingdta,7650,84,0.14,0.0654,0.211,0.1225,0.0575,0.1868,0.0859,0.0404,0.1322,0.5431,0.5193,0.5667,1.1181,1.0311,1.2061
none,deepdta,7650,84,0.1168,0.0559,0.1801,0.118,0.0615,0.1729,0.0833,0.0419,0.1242,0.5417,0.5222,0.5623,1.2941,1.1761,1.4086
<1.00,boltz2,7616,84,0.3204,0.2543,0.3833,0.3056,0.2437,0.363,0.2162,0.1695,0.2586,0.6084,0.5872,0.6289,1.1285,1.0414,1.228
<1.00,flowr_root,7616,84,0.425,0.3629,0.4828,0.3996,0.3379,0.4571,0.2868,0.2389,0.3302,0.6438,0.6222,0.6647,0.7189,0.6696,0.7719
<1.00,flowdock,7616,84,0.1541,0.0914,0.2163,0.1423,0.0827,0.1982,0.1004,0.0593,0.1424,0.5503,0.5299,0.5713,1.2742,1.1486,1.4124
<1.00,haiping,7616,84,0.1177,0.0548,0.1775,0.0996,0.0442,0.1578,0.071,0.0316,0.1108,0.5357,0.5165,0.5565,1.1061,1.0257,1.1901
<1.00,mfe,7616,84,0.1526,0.0965,0.2074,0.1381,0.0818,0.1934,0.0951,0.0555,0.1359,0.5477,0.528,0.5676,1.1158,1.0301,1.202
<1.00,bapred,7616,84,0.1246,0.0643,0.1866,0.1149,0.0593,0.1702,0.081,0.0425,0.1196,0.5406,0.521,0.5593,1.1027,1.0173,1.1864
<1.00,llf,7616,84,0.1961,0.1418,0.2526,0.1813,0.1297,0.2317,0.1251,0.0874,0.1581,0.5627,0.5452,0.5805,1.324,1.1879,1.4826
<1.00,mixingdta,7616,84,0.1395,0.0704,0.2115,0.1235,0.0574,0.1882,0.0864,0.0386,0.1357,0.5433,0.5197,0.5665,1.1177,1.0303,1.2037
<1.00,deepdta,7616,84,0.1183,0.0529,0.1815,0.122,0.0638,0.1796,0.0865,0.0438,0.1269,0.5433,0.5232,0.5646,1.2935,1.1825,1.4106
<0.95,boltz2,7604,84,0.3221,0.2573,0.3851,0.3069,0.2444,0.3658,0.2171,0.1736,0.26,0.6089,0.5862,0.6304,1.1281,1.0406,1.2308
<0.95,flowr_root,7604,84,0.4254,0.361,0.49,0.4002,0.3358,0.46,0.2873,0.2432,0.3325,0.644,0.6208,0.6663,0.7185,0.6688,0.7727
<0.95,flowdock,7604,84,0.1546,0.0865,0.218,0.1429,0.0829,0.2004,0.1008,0.0594,0.1431,0.5506,0.5302,0.5712,1.2737,1.1431,1.4001
<0.95,haiping,7604,84,0.1181,0.0595,0.1783,0.0999,0.0427,0.1588,0.0713,0.0308,0.1147,0.5358,0.5157,0.5564,1.1061,1.0289,1.1899
<0.95,mfe,7604,84,0.1549,0.0948,0.2153,0.1395,0.0817,0.1981,0.0961,0.0576,0.1333,0.5482,0.5281,0.5676,1.1154,1.0309,1.2048
<0.95,bapred,7604,84,0.1264,0.0655,0.1891,0.1165,0.0605,0.1706,0.0822,0.0439,0.1218,0.5412,0.5225,0.5606,1.103,1.0231,1.1907
<0.95,llf,7604,84,0.1973,0.1414,0.254,0.1824,0.1277,0.2322,0.1259,0.0892,0.1624,0.5631,0.5451,0.5813,1.3238,1.1801,1.4744
<0.95,mixingdta,7604,84,0.1404,0.0712,0.2092,0.124,0.0577,0.1899,0.0868,0.0398,0.133,0.5435,0.5201,0.5681,1.1178,1.0367,1.2078
<0.95,deepdta,7604,84,0.1194,0.0553,0.1845,0.123,0.063,0.1849,0.0872,0.0461,0.1277,0.5437,0.5225,0.5641,1.2937,1.1874,1.4097
<0.90,boltz2,7575,84,0.3287,0.2676,0.3896,0.3116,0.2505,0.368,0.22,0.1767,0.262,0.6104,0.5894,0.6312,1.1262,1.0342,1.2242
<0.90,flowr_root,7575,84,0.4244,0.3575,0.4814,0.3982,0.3408,0.4592,0.2859,0.2412,0.3307,0.6433,0.6202,0.6654,0.7174,0.6683,0.7686
<0.90,flowdock,7575,84,0.1591,0.097,0.2262,0.1468,0.0876,0.2052,0.1034,0.0614,0.1454,0.5519,0.5333,0.5733,1.2723,1.1391,1.4034
<0.90,haiping,7575,84,0.1161,0.0588,0.1778,0.099,0.0422,0.1558,0.0708,0.0322,0.1124,0.5355,0.5159,0.5556,1.1044,1.0275,1.1906
<0.90,mfe,7575,84,0.155,0.0954,0.2142,0.1389,0.0819,0.1936,0.0957,0.0559,0.1345,0.548,0.5289,0.5675,1.1137,1.0275,1.2009
<0.90,bapred,7575,84,0.1287,0.0659,0.1892,0.119,0.0616,0.1756,0.0838,0.0432,0.1224,0.542,0.5229,0.561,1.1016,1.02,1.1857
<0.90,llf,7575,84,0.202,0.1495,0.2537,0.1855,0.1353,0.2389,0.1279,0.0924,0.1645,0.5641,0.5462,0.5821,1.3208,1.1854,1.4747
<0.90,mixingdta,7575,84,0.1427,0.0736,0.2144,0.1256,0.0624,0.1887,0.088,0.0429,0.1341,0.5441,0.5197,0.5676,1.1147,1.0292,1.2046
<0.90,deepdta,7575,84,0.1228,0.0584,0.1876,0.1258,0.0669,0.1847,0.089,0.0497,0.1305,0.5445,0.5234,0.5655,1.2916,1.1771,1.412
<0.85,boltz2,7445,84,0.3324,0.2729,0.3939,0.3145,0.2524,0.3744,0.2222,0.1778,0.2636,0.6114,0.5894,0.6314,1.1262,1.0357,1.2286
<0.85,flowr_root,7445,84,0.4239,0.3663,0.4814,0.3982,0.3337,0.4581,0.286,0.2365,0.332,0.6434,0.6197,0.6649,0.7175,0.67,0.7702
<0.85,flowdock,7445,84,0.1656,0.1037,0.2329,0.1516,0.0914,0.2126,0.1064,0.0657,0.1485,0.5534,0.5324,0.574,1.2732,1.145,1.4049
<0.85,haiping,7445,84,0.1225,0.0613,0.1858,0.1061,0.0472,0.1678,0.0765,0.0357,0.1211,0.5384,0.5179,0.5598,1.1071,1.0285,1.195
<0.85,mfe,7445,84,0.1601,0.1006,0.2201,0.1437,0.0838,0.1981,0.0986,0.0582,0.1394,0.5494,0.5298,0.5687,1.1177,1.032,1.202
<0.85,bapred,7445,84,0.1313,0.0704,0.1919,0.1221,0.0649,0.1774,0.0858,0.0474,0.1254,0.543,0.5233,0.5618,1.1029,1.0195,1.1861
<0.85,llf,7445,84,0.2041,0.1489,0.2567,0.1878,0.1384,0.2406,0.1301,0.095,0.1671,0.5652,0.5471,0.5833,1.3224,1.1831,1.4741
<0.85,mixingdta,7445,84,0.1481,0.0793,0.2201,0.1349,0.0658,0.2001,0.0943,0.0477,0.1391,0.5473,0.5236,0.5717,1.109,1.0242,1.1964
<0.85,deepdta,7445,84,0.1252,0.0615,0.1919,0.1291,0.0713,0.1882,0.0915,0.0505,0.1329,0.5458,0.5258,0.567,1.2956,1.1801,1.4117
<0.80,boltz2,7178,84,0.3202,0.2573,0.3821,0.3017,0.2421,0.3625,0.2133,0.1698,0.2553,0.607,0.584,0.6283,1.1306,1.0396,1.2349
<0.80,flowr_root,7178,84,0.4197,0.3583,0.4832,0.3929,0.3324,0.4517,0.2824,0.2364,0.3258,0.6416,0.6181,0.6637,0.7161,0.6615,0.7704
<0.80,flowdock,7178,84,0.1648,0.0981,0.2346,0.1456,0.0845,0.2043,0.1014,0.0575,0.143,0.5509,0.5278,0.5726,1.2787,1.1405,1.4184
<0.80,haiping,7178,84,0.1236,0.0613,0.1885,0.1036,0.0419,0.159,0.0746,0.0309,0.1192,0.5375,0.5162,0.5598,1.1065,1.0262,1.1903
<0.80,mfe,7178,84,0.1545,0.0963,0.2142,0.1377,0.0816,0.1934,0.0935,0.0514,0.1318,0.5469,0.5266,0.567,1.1189,1.0325,1.2096
<0.80,bapred,7178,84,0.131,0.0662,0.1922,0.1197,0.0629,0.1744,0.084,0.0445,0.1228,0.5422,0.5234,0.5616,1.1005,1.018,1.1904
<0.80,llf,7178,84,0.2043,0.1476,0.2574,0.1861,0.1334,0.2376,0.1287,0.0909,0.1654,0.5645,0.5462,0.5819,1.3242,1.1875,1.4755
<0.80,mixingdta,7178,84,0.1383,0.0635,0.2093,0.1261,0.0588,0.1921,0.0883,0.0406,0.1369,0.5443,0.52,0.5676,1.1092,1.0239,1.1989
