compound_id,uniprot,affinity,in_sair
C7C422_CHEMBL5428850,C7C422,8.9,True
C7C422_CHEMBL5417591,C7C422,6.89,False
C7C422_CHEMBL5439975,C7C422,4.815,False
C7C422_CHEMBL5417195,C7C422,6.12,True
C7C422_CHEMBL5432778,C7C422,5.77,False
C7C422_CHEMBL5413714,C7C422,4.75,False
C7C422_CHEMBL5437131,C7C422,4.56,False
C7C422_CHEMBL5410303,C7C422,5.02,False
C7C422_CHEMBL5403178,C7C422,4.52,True
C7C422_CHEMBL5427511,C7C422,6.02,True
C7C422_CHEMBL5423006,C7C422,5.68,False
C7C422_CHEMBL5436726,C7C422,5.85,True
C7C422_CHEMBL5402652,C7C422,6.15,True
C7C422_CHEMBL5435754,C7C422,6.0,True
C7C422_CHEMBL5432742,C7C422,6.33,True
C7C422_CHEMBL5413366,C7C422,7.96,False
C7C422_CHEMBL5429713,C7C422,6.6,True
C7C422_CHEMBL5394208,C7C422,4.65,False
C7C422_CHEMBL5409129,C7C422,4.83,False
C7C422_CHEMBL5431449,C7C422,4.33,False
C7C422_CHEMBL5424977,C7C422,4.12,False
C7C422_CHEMBL5412136,C7C422,5.83,False
C7C422_CHEMBL5412587,C7C422,5.53,True
C7C422_CHEMBL5436857,C7C422,6.43,True
C7C422_CHEMBL5421632,C7C422,6.55,True
C7C422_CHEMBL5416932,C7C422,6.28,True
C7C422_CHEMBL5409968,C7C422,6.54,True
C7C422_CHEMBL5424619,C7C422,6.39,True
C7C422_CHEMBL5426400,C7C422,6.05,True
C7C422_CHEMBL5414788,C7C422,5.89,True
C7C422_CHEMBL5423672,C7C422,6.36,True
C7C422_CHEMBL5434080,C7C422,6.43,True
C7C422_CHEMBL5418994,C7C422,6.35,True
C7C422_CHEMBL5393815,C7C422,6.3,True
C7C422_CHEMBL5408921,C7C422,6.17,True
C7C422_CHEMBL5415172,C7C422,6.25,True
C7C422_CHEMBL5405077,C7C422,6.08,True
C7C422_CHEMBL5394233,C7C422,6.36,True
C7C422_CHEMBL5421999,C7C422,6.54,True
C7C422_CHEMBL5437270,C7C422,6.49,True
C7C422_CHEMBL5421395,C7C422,6.42,False
C7C422_CHEMBL5437627,C7C422,4.59,False
C7C422_CHEMBL5401063,C7C422,4.26,False
C7C422_CHEMBL5395915,C7C422,4.13,False
C7C422_CHEMBL5421154,C7C422,4.72,False
C7C422_CHEMBL5396318,C7C422,6.52,False
C7C422_CHEMBL5431286,C7C422,4.55,False
C7C422_CHEMBL5425633,C7C422,4.76,False
C7C422_CHEMBL5413869,C7C422,4.65,False
O00444_CHEMBL5415514,O00444,6.72,False
O00444_CHEMBL5406293,O00444,5.62,False
O00444_CHEMBL5408339,O00444,6.66,False
O00444_CHEMBL5428085,O00444,9.52,False
O00444_CHEMBL5438941,O00444,6.11,False
O00444_CHEMBL5409987,O00444,6.45,False
O00444_CHEMBL5427137,O00444,6.97,False
O00444_CHEMBL5427658,O00444,5.99,False
O00444_CHEMBL5410628,O00444,6.42,False
O00444_CHEMBL5407680,O00444,6.91,False
O00444_CHEMBL5418921,O00444,5.82,False
O00444_CHEMBL5441117,O00444,6.54,False
O00444_CHEMBL5396900,O00444,7.7,False
O00444_CHEMBL5438910,O00444,6.5,False
O00444_CHEMBL5399402,O00444,7.75,False
O00444_CHEMBL5416099,O00444,7.11,False
O00444_CHEMBL5439625,O00444,6.56,False
O00444_CHEMBL5394160,O00444,7.01,False
O00444_CHEMBL5440186,O00444,6.99,False
O00444_CHEMBL5407899,O00444,6.47,False
O00444_CHEMBL5399219,O00444,7.15,False
O00444_CHEMBL5439296,O00444,5.18,False
O00444_CHEMBL5401624,O00444,7.62,False
O00444_CHEMBL5433061,O00444,6.29,False
O00444_CHEMBL5439723,O00444,5.79,False
O00444_CHEMBL5434198,O00444,7.59,False
O00444_CHEMBL5424061,O00444,6.4,False
O00444_CHEMBL5401850,O00444,8.01,False
O00444_CHEMBL5432215,O00444,7.09,False
O00444_CHEMBL5437830,O00444,5.13,False
O00444_CHEMBL5438958,O00444,5.35,False
O00444_CHEMBL5423452,O00444,5.89,False
O00444_CHEMBL5404860,O00444,6.29,False
