compound_id,uniprot,affinity,bdb_date
P24941_CHEMBL5416233,P24941,4.33,2024-02-28
P24941_CHEMBL5428330,P24941,5.34,2024-02-28
P24941_CHEMBL5427047,P24941,4.35,2024-02-28
P24941_CHEMBL5413620,P24941,4.8,2024-02-28
P24941_CHEMBL5407688,P24941,4.42,2024-02-28
P24941_CHEMBL5394312,P24941,4.68,2024-02-28
P24941_CHEMBL5412165,P24941,4.82,2024-02-28
P24941_CHEMBL5439308,P24941,7.32,2024-02-28
P24941_CHEMBL5407777,P24941,4.38,2024-02-28
P24941_CHEMBL5435410,P24941,5.4,2024-02-28
P24941_CHEMBL5432928,P24941,7.275,2024-02-28
P24941_CHEMBL5400738,P24941,5.1,2024-02-28
P24941_CHEMBL5423185,P24941,6.55,2024-02-28
P24941_CHEMBL5423683,P24941,5.55,2024-02-28
P24941_CHEMBL5404611,P24941,4.89,2024-02-28
P24941_CHEMBL5401897,P24941,5.21,2024-02-28
P24941_CHEMBL5432063,P24941,4.42,2024-02-28
P42336_CHEMBL5397877,P42336,6.5,2021-09-28
P42336_CHEMBL5425756,P42336,6.0,2021-09-28
P42336_CHEMBL5420261,P42336,6.5,2021-09-28
P42336_CHEMBL5414369,P42336,6.5,2021-09-28
P42336_CHEMBL5413496,P42336,7.0,2021-09-28
P52333_CHEMBL5427093,P52333,7.72,2024-04-24
P52333_CHEMBL5394800,P52333,7.43,2024-04-24
P52333_CHEMBL5440136,P52333,7.29,2024-04-24
P52333_CHEMBL5435684,P52333,7.36,2024-04-24
P52333_CHEMBL5415543,P52333,7.85,2024-04-24
P52333_CHEMBL5412767,P52333,7.57,2024-04-24
P52333_CHEMBL5436699,P52333,6.83,2024-04-24
P52333_CHEMBL5413492,P52333,7.36,2024-04-24
P52333_CHEMBL5428711,P52333,7.0,2024-04-24
P52333_CHEMBL5402002,P52333,7.36,2024-04-24
P52333_CHEMBL5411595,P52333,7.46,2024-04-24
P52333_CHEMBL5396054,P52333,7.14,2024-04-24
P52333_CHEMBL5403745,P52333,6.97,2024-04-24
P52333_CHEMBL5403374,P52333,7.16,2024-04-24
P52333_CHEMBL5396925,P52333,7.21,2024-04-24
P52333_CHEMBL5404479,P52333,7.52,2024-04-24
Q06124_CHEMBL5430697,Q06124,6.67,2024-09-24
Q06187_CHEMBL5427093,Q06187,9.38,2024-04-24
Q06187_CHEMBL5394800,Q06187,8.57,2024-04-24
Q06187_CHEMBL5440136,Q06187,8.74,2024-04-24
Q06187_CHEMBL5435684,Q06187,8.89,2024-04-24
Q06187_CHEMBL5415543,Q06187,8.7,2024-04-24
Q06187_CHEMBL5412767,Q06187,8.66,2024-04-24
Q06187_CHEMBL5436699,Q06187,8.47,2024-04-24
Q06187_CHEMBL5413492,Q06187,8.82,2024-04-24
Q06187_CHEMBL5428711,Q06187,8.62,2024-04-24
Q06187_CHEMBL5402002,Q06187,8.74,2024-04-24
Q06187_CHEMBL5411595,Q06187,8.72,2024-04-24
Q06187_CHEMBL5396054,Q06187,8.89,2024-04-24
Q06187_CHEMBL5403745,Q06187,8.7,2024-04-24
Q06187_CHEMBL5403374,Q06187,8.85,2024-04-24
Q06187_CHEMBL5396925,Q06187,8.77,2024-04-24
Q06187_CHEMBL5404479,Q06187,8.62,2024-04-24
Q13547_CHEMBL5440875,Q13547,7.14,2024-08-09
Q96P20_CHEMBL5409874,Q96P20,7.62,2024-02-03
Q96P20_CHEMBL5434150,Q96P20,8.07,2024-02-03
Q96P20_CHEMBL5405293,Q96P20,5.795,2024-02-03
