compound_id,uniprot,affinity,ex_label,fl_label,sim_union
C7C422_CHEMBL5428850,C7C422,8.9,8.9,8.9,0.3289
C7C422_CHEMBL5417591,C7C422,6.89,,,0.6665
C7C422_CHEMBL5439975,C7C422,4.815,,,0.5127
C7C422_CHEMBL5417195,C7C422,6.12,6.12,6.12,0.6152
C7C422_CHEMBL5432778,C7C422,5.77,,,0.5713
C7C422_CHEMBL5413714,C7C422,4.75,,,0.6099
C7C422_CHEMBL5437131,C7C422,4.56,,,0.6562
C7C422_CHEMBL5410303,C7C422,5.02,,,0.6069
C7C422_CHEMBL5403178,C7C422,4.52,4.52,4.52,0.491
C7C422_CHEMBL5427511,C7C422,6.02,6.02,6.02,0.4736
C7C422_CHEMBL5423006,C7C422,5.68,,,0.4822
C7C422_CHEMBL5436726,C7C422,5.85,5.85,5.85,0.4546
C7C422_CHEMBL5402652,C7C422,6.15,6.15,6.15,0.5083
C7C422_CHEMBL5435754,C7C422,6.0,6.0,6.0,0.6152
C7C422_CHEMBL5432742,C7C422,6.33,6.33,6.33,0.6528
C7C422_CHEMBL5413366,C7C422,7.96,,,0.6562
C7C422_CHEMBL5429713,C7C422,6.6,6.6,6.6,0.5332
C7C422_CHEMBL5394208,C7C422,4.65,,,0.4312
C7C422_CHEMBL5409129,C7C422,4.83,,,0.5
C7C422_CHEMBL5431449,C7C422,4.33,,,0.5186
C7C422_CHEMBL5424977,C7C422,4.12,,,0.519
C7C422_CHEMBL5412136,C7C422,5.83,,,0.6201
C7C422_CHEMBL5412587,C7C422,5.53,5.53,5.53,0.8413
C7C422_CHEMBL5436857,C7C422,6.43,6.43,6.43,0.5332
C7C422_CHEMBL5421632,C7C422,6.55,6.55,6.55,0.5488
C7C422_CHEMBL5416932,C7C422,6.28,6.28,6.28,0.4736
C7C422_CHEMBL5409968,C7C422,6.54,6.54,6.54,0.5283
C7C422_CHEMBL5424619,C7C422,6.39,6.39,6.39,0.7061
C7C422_CHEMBL5426400,C7C422,6.05,6.05,6.05,0.5366
C7C422_CHEMBL5414788,C7C422,5.89,5.89,5.89,0.6445
C7C422_CHEMBL5423672,C7C422,6.36,6.36,6.36,0.646
C7C422_CHEMBL5434080,C7C422,6.43,6.43,6.43,0.7456
C7C422_CHEMBL5418994,C7C422,6.35,6.35,6.35,0.6304
C7C422_CHEMBL5393815,C7C422,6.3,6.3,6.3,0.646
C7C422_CHEMBL5408921,C7C422,6.17,6.17,6.17,0.5713
C7C422_CHEMBL5415172,C7C422,6.25,6.25,6.25,0.7114
C7C422_CHEMBL5405077,C7C422,6.08,6.08,6.08,0.7144
C7C422_CHEMBL5394233,C7C422,6.36,6.36,6.36,0.6382
C7C422_CHEMBL5421999,C7C422,6.54,6.54,6.54,0.6816
C7C422_CHEMBL5437270,C7C422,6.49,6.49,6.49,1.0
C7C422_CHEMBL5421395,C7C422,6.42,,,0.7417
C7C422_CHEMBL5437627,C7C422,4.59,,,0.6362
C7C422_CHEMBL5401063,C7C422,4.26,,,0.6099
C7C422_CHEMBL5395915,C7C422,4.13,,,0.5239
C7C422_CHEMBL5421154,C7C422,4.72,,,0.7368
C7C422_CHEMBL5396318,C7C422,6.52,,,0.4644
C7C422_CHEMBL5431286,C7C422,4.55,,,0.4194
C7C422_CHEMBL5425633,C7C422,4.76,,,0.5928
C7C422_CHEMBL5413869,C7C422,4.65,,,0.5645
O00444_CHEMBL5415514,O00444,6.72,,,0.5659
O00444_CHEMBL5406293,O00444,5.62,,,0.5347
O00444_CHEMBL5408339,O00444,6.66,,,0.582
O00444_CHEMBL5428085,O00444,9.52,,,0.5815
O00444_CHEMBL5438941,O00444,6.11,,,0.5522
O00444_CHEMBL5409987,O00444,6.45,,,0.5781
O00444_CHEMBL5427137,O00444,6.97,,,0.5781
O00444_CHEMBL5427658,O00444,5.99,,,0.7144
O00444_CHEMBL5410628,O00444,6.42,,,0.4688
O00444_CHEMBL5407680,O00444,6.91,,,0.5068
O00444_CHEMBL5418921,O00444,5.82,,,0.5293
O00444_CHEMBL5441117,O00444,6.54,,,0.4688
O00444_CHEMBL5396900,O00444,7.7,,,0.5679
O00444_CHEMBL5438910,O00444,6.5,,,0.5356
O00444_CHEMBL5399402,O00444,7.75,,,0.5
O00444_CHEMBL5416099,O00444,7.11,,,0.5635
O00444_CHEMBL5439625,O00444,6.56,,,0.5303
O00444_CHEMBL5394160,O00444,7.01,,,0.5059
