target,molecule_chembl_id,n_prior_ligands,inchikey_exact_hit,inchikey_skeleton_hit,max_tanimoto
C7C422,CHEMBL5428850,125,False,False,0.21686746987951808
C7C422,CHEMBL5417591,125,False,False,0.3333333333333333
C7C422,CHEMBL5439975,125,False,False,0.35
C7C422,CHEMBL5417195,125,False,False,0.17647058823529413
C7C422,CHEMBL5432778,125,False,False,0.19672131147540983
C7C422,CHEMBL5413714,125,False,False,0.20754716981132076
C7C422,CHEMBL5437131,125,False,False,0.4
C7C422,CHEMBL5410303,125,False,False,0.21333333333333335
C7C422,CHEMBL5403178,125,False,False,0.2786885245901639
C7C422,CHEMBL5427511,125,False,False,0.24074074074074073
C7C422,CHEMBL5423006,125,False,False,0.4423076923076923
C7C422,CHEMBL5436726,125,False,False,0.22641509433962265
C7C422,CHEMBL5402652,125,False,False,0.48
C7C422,CHEMBL5435754,125,False,False,0.3137254901960784
C7C422,CHEMBL5432742,125,False,False,0.24561403508771928
C7C422,CHEMBL5413366,125,False,False,0.65625
C7C422,CHEMBL5429713,125,False,False,0.42105263157894735
C7C422,CHEMBL5394208,125,False,False,0.2236842105263158
C7C422,CHEMBL5409129,125,False,False,0.24615384615384617
C7C422,CHEMBL5431449,125,False,False,0.2
C7C422,CHEMBL5424977,125,False,False,0.18666666666666668
C7C422,CHEMBL5412136,125,False,False,0.22413793103448276
C7C422,CHEMBL5412587,125,False,False,0.3402061855670103
C7C422,CHEMBL5436857,125,False,False,0.2857142857142857
C7C422,CHEMBL5421632,125,False,False,0.27586206896551724
C7C422,CHEMBL5416932,125,False,False,0.22950819672131148
C7C422,CHEMBL5409968,125,False,False,0.21666666666666667
C7C422,CHEMBL5424619,125,False,False,0.234375
C7C422,CHEMBL5426400,125,False,False,0.27450980392156865
C7C422,CHEMBL5414788,125,False,False,0.2641509433962264
C7C422,CHEMBL5423672,125,False,False,0.2727272727272727
C7C422,CHEMBL5434080,125,False,False,0.22727272727272727
C7C422,CHEMBL5418994,125,False,False,0.25925925925925924
C7C422,CHEMBL5393815,125,False,False,0.2727272727272727
C7C422,CHEMBL5408921,125,False,False,0.2727272727272727
C7C422,CHEMBL5415172,125,False,False,0.33962264150943394
C7C422,CHEMBL5405077,125,False,False,0.2545454545454545
C7C422,CHEMBL5394233,125,False,False,0.25757575757575757
C7C422,CHEMBL5421999,125,False,False,0.2545454545454545
C7C422,CHEMBL5437270,125,False,False,0.32558139534883723
C7C422,CHEMBL5421395,125,False,False,0.2537313432835821
C7C422,CHEMBL5437627,125,False,False,0.3125
C7C422,CHEMBL5401063,125,False,False,0.25925925925925924
C7C422,CHEMBL5395915,125,False,False,0.2545454545454545
C7C422,CHEMBL5421154,125,False,False,0.2923076923076923
C7C422,CHEMBL5396318,125,False,False,0.19696969696969696
C7C422,CHEMBL5431286,125,False,False,0.25
C7C422,CHEMBL5425633,125,False,False,0.24242424242424243
C7C422,CHEMBL5413869,125,False,False,0.2413793103448276
O00444,CHEMBL5415514,1626,False,False,0.47619047619047616
O00444,CHEMBL5406293,1626,False,False,0.44776119402985076
O00444,CHEMBL5408339,1626,False,False,0.46153846153846156
O00444,CHEMBL5428085,1626,False,False,0.5813953488372093
O00444,CHEMBL5438941,1626,False,False,0.32857142857142857
O00444,CHEMBL5409987,1626,False,False,0.3375
O00444,CHEMBL5427137,1626,False,False,0.3375
O00444,CHEMBL5427658,1626,False,False,0.3972602739726027
O00444,CHEMBL5410628,1626,False,False,0.30864197530864196
O00444,CHEMBL5407680,1626,False,False,0.3076923076923077
O00444,CHEMBL5418921,1626,False,False,0.5294117647058824
O00444,CHEMBL5441117,1626,False,False,0.325
O00444,CHEMBL5396900,1626,False,False,0.5679012345679012
O00444,CHEMBL5438910,1626,False,False,0.47692307692307695
O00444,CHEMBL5399402,1626,False,False,0.3333333333333333
O00444,CHEMBL5416099,1626,False,False,0.36082474226804123
O00444,CHEMBL5439625,1626,False,False,0.34444444444444444
O00444,CHEMBL5394160,1626,False,False,0.32653061224489793
O00444,CHEMBL5440186,1626,False,False,0.47297297297297297
O00444,CHEMBL5407899,1626,False,False,0.3181818181818182
O00444,CHEMBL5399219,1626,False,False,0.5
O00444,CHEMBL5439296,1626,False,False,0.32323232323232326
O00444,CHEMBL5401624,1626,False,False,0.7051282051282052
O00444,CHEMBL5433061,1626,False,False,0.3561643835616438
O00444,CHEMBL5439723,1626,False,False,0.36904761904761907
O00444,CHEMBL5434198,1626,False,False,0.6470588235294118
O00444,CHEMBL5424061,1626,False,False,0.36470588235294116
O00444,CHEMBL5401850,1626,False,False,0.6395348837209303
O00444,CHEMBL5432215,1626,False,False,0.2976190476190476
O00444,CHEMBL5437830,1626,False,False,0.32558139534883723
O00444,CHEMBL5438958,1626,False,False,0.3780487804878049
O00444,CHEMBL5423452,1626,False,False,0.379746835443038
O00444,CHEMBL5404860,1626,False,False,0.3780487804878049
O00444,CHEMBL5440423,1626,False,False,0.3924050632911392
O00444,CHEMBL5437782,1626,False,False,0.3950617283950617
O00444,CHEMBL5421379,1626,False,False,0.37349397590361444
O00444,CHEMBL5410573,1626,False,False,0.42857142857142855
O00444,CHEMBL5410589,1626,False,False,0.37349397590361444
O00444,CHEMBL5395499,1626,False,False,0.3974358974358974
O00444,CHEMBL5411283,1626,False,False,0.3902439024390244
O00444,CHEMBL5394214,1626,False,False,0.375
O00444,CHEMBL5424982,1626,False,False,0.37349397590361444
O00444,CHEMBL5409586,1626,False,False,0.35714285714285715
O00444,CHEMBL5430398,1626,False,False,0.3614457831325301
O00444,CHEMBL5415639,1626,False,False,0.36923076923076925
O00444,CHEMBL5431124,1626,False,False,0.37349397590361444
O00444,CHEMBL5440224,1626,False,False,0.36046511627906974
O00444,CHEMBL5420676,1626,False,False,0.38271604938271603
O00444,CHEMBL5439579,1626,False,False,0.37349397590361444
O00444,CHEMBL5421662,1626,False,False,0.36585365853658536
O00444,CHEMBL5424261,1626,False,False,0.3614457831325301
O00444,CHEMBL5420664,1626,False,False,0.31645569620253167
O00444,CHEMBL5418913,1626,False,False,0.345679012345679
O00444,CHEMBL5407522,1626,False,False,0.875
O00444,CHEMBL5397303,1626,False,False,0.5542168674698795
O00444,CHEMBL5432162,1626,False,False,0.625
O00444,CHEMBL5400736,1626,False,False,0.6707317073170732
O00444,CHEMBL5426828,1626,False,False,0.6875
O00444,CHEMBL5404983,1626,False,False,0.6617647058823529
O00444,CHEMBL5432542,1626,False,False,0.6527777777777778
O00444,CHEMBL5399648,1626,False,False,0.5444444444444444
O00444,CHEMBL5420150,1626,False,False,0.5930232558139535
O00444,CHEMBL5402864,1626,False,False,0.691358024691358
O00444,CHEMBL5439790,1626,False,False,0.6
O00444,CHEMBL5423111,1626,False,False,0.6790123456790124
O00444,CHEMBL5408496,1626,False,False,0.7631578947368421
O00444,CHEMBL5425999,1626,False,False,0.6829268292682927
O00444,CHEMBL5424704,1626,False,False,0.6875
O00444,CHEMBL5439446,1626,False,False,0.6547619047619048
O00444,CHEMBL5420852,1626,False,False,0.632183908045977
O00444,CHEMBL5435158,1626,False,False,0.691358024691358
O00444,CHEMBL5424463,1626,False,False,0.6626506024096386
O00444,CHEMBL5429187,1626,False,False,0.6547619047619048
O00444,CHEMBL5429940,1626,False,False,0.6111111111111112
O00444,CHEMBL5397250,1626,False,False,0.6962025316455697
O00444,CHEMBL5435416,1626,False,False,0.6707317073170732
O00444,CHEMBL5409434,1626,False,False,0.6962025316455697
O00444,CHEMBL5438019,1626,False,False,0.6707317073170732
O00444,CHEMBL5430106,1626,False,False,0.7236842105263158
O00444,CHEMBL5418250,1626,False,False,0.7432432432432432
O00444,CHEMBL5429009,1626,False,False,0.75
O00444,CHEMBL5396416,1626,False,False,0.7105263157894737
O00444,CHEMBL5425790,1626,False,False,0.7012987012987013
O00444,CHEMBL5405656,1626,False,False,0.7297297297297297
O00444,CHEMBL5420682,1626,False,False,0.56
O00444,CHEMBL5433109,1626,False,False,0.5656565656565656
O00444,CHEMBL5410922,1626,False,False,0.5773195876288659
O00444,CHEMBL5435903,1626,False,False,0.5773195876288659
O00444,CHEMBL5423103,1626,False,False,0.5384615384615384
O00444,CHEMBL5434630,1626,False,False,0.5436893203883495
O00444,CHEMBL5413470,1626,False,False,0.5544554455445545
O00444,CHEMBL5435948,1626,False,False,0.5544554455445545
