RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2,Fold,Dataset,N
0.506,0.256,0.797,0.643,0.513,0.865,0.611,1,davis_warm,5155.0
0.472,0.223,0.814,0.67,0.536,0.88,0.591,2,davis_warm,5155.0
0.475,0.225,0.824,0.663,0.531,0.878,0.651,3,davis_warm,5154.0
0.492,0.242,0.817,0.651,0.522,0.872,0.631,4,davis_warm,5154.0
0.465,0.216,0.828,0.665,0.533,0.882,0.643,5,davis_warm,5154.0
0.48199999999999993,0.2324,0.8160000000000001,0.6584000000000001,0.527,0.8754,0.6254,Average,davis_warm,5154.4
0.462,0.213,0.835,0.809,0.656,0.838,0.68,1,kiba_warm,23532.0
0.462,0.214,0.834,0.816,0.665,0.842,0.688,2,kiba_warm,23532.0
0.539,0.291,0.763,0.748,0.585,0.801,0.568,3,kiba_warm,23531.0
0.458,0.21,0.833,0.812,0.66,0.839,0.688,4,kiba_warm,23531.0
0.474,0.224,0.826,0.805,0.652,0.836,0.662,5,kiba_warm,23531.0
0.479,0.2304,0.8181999999999998,0.7980000000000002,0.6436000000000001,0.8311999999999999,0.6571999999999999,Average,kiba_warm,23531.4
0.812,0.659,0.29,0.267,0.202,0.639,0.07,1,davis_cold_drug,5306.0
0.802,0.643,0.358,0.377,0.29,0.699,0.099,2,davis_cold_drug,5306.0
0.814,0.663,0.329,0.377,0.287,0.697,0.082,3,davis_cold_drug,5306.0
0.809,0.655,0.337,0.342,0.26,0.679,0.089,4,davis_cold_drug,5306.0
0.82,0.673,0.338,0.356,0.271,0.686,0.088,5,davis_cold_drug,5306.0
0.8114000000000001,0.6586000000000001,0.33039999999999997,0.3438,0.262,0.68,0.08559999999999998,Average,davis_cold_drug,5306.0
0.626,0.391,0.626,0.528,0.414,0.804,0.357,1,davis_cold_target,5168.0
0.612,0.375,0.635,0.524,0.412,0.803,0.35,2,davis_cold_target,5168.0
0.611,0.374,0.635,0.525,0.412,0.803,0.385,3,davis_cold_target,5168.0
0.624,0.39,0.604,0.512,0.4,0.794,0.339,4,davis_cold_target,5168.0
0.611,0.374,0.624,0.516,0.404,0.797,0.366,5,davis_cold_target,5168.0
0.6167999999999999,0.3808000000000001,0.6248,0.521,0.4084,0.8002,0.35940000000000005,Average,davis_cold_target,5168.0
0.636,0.404,0.601,0.594,0.447,0.73,0.334,1,kiba_cold_drug,25517.0
0.627,0.393,0.611,0.601,0.451,0.732,0.367,2,kiba_cold_drug,25517.0
0.71,0.504,0.495,0.502,0.362,0.687,0.193,3,kiba_cold_drug,25517.0
0.648,0.42,0.582,0.566,0.425,0.719,0.304,4,kiba_cold_drug,25517.0
0.689,0.475,0.534,0.518,0.373,0.693,0.225,5,kiba_cold_drug,25517.0
0.662,0.43920000000000003,0.5645999999999999,0.5561999999999999,0.41159999999999997,0.7121999999999999,0.2846000000000001,Average,kiba_cold_drug,25517.0
0.707,0.5,0.564,0.539,0.398,0.706,0.29,1,kiba_cold_target,21699.0
0.699,0.489,0.574,0.53,0.389,0.701,0.314,2,kiba_cold_target,21699.0
0.663,0.44,0.628,0.565,0.421,0.717,0.391,3,kiba_cold_target,21699.0
0.764,0.584,0.524,0.498,0.36,0.687,0.244,4,kiba_cold_target,21699.0
0.738,0.544,0.5,0.479,0.354,0.677,0.248,5,kiba_cold_target,21699.0
0.7142000000000001,0.5114,0.558,0.5222,0.3844,0.6976,0.2974,Average,kiba_cold_target,21699.0
