# Provenance of everything under data/. The rule is the one checkpoints/ already uses:
# what PLABench generated goes into the Zenodo deposit, what someone else built is linked.
# "deposit" = shipped in the Zenodo archive; "link" = download it yourself from the source below.
# Checked 2026-09-15.
#
# path	what it is	origin	license	deposit / link	note
data/pdbbind2020/full.csv	12,378 PDBbind 2020 general complexes, sequence + SMILES + affinity	PDBbind v2020	redistribution not granted; free academic access after registration at pdbbind.org.cn/enroll.php	link	leakage-audit corpus only, never a benchmark. Mirror used here: https://huggingface.co/datasets/photonmz/pdbbindpp-2020
data/pdbbind2020/{train,val,test}.csv	deleted	-	-	neither	the dump ran without split labels, so all 12,378 rows landed in `none` and the three files were written with a header and no rows. Nothing read them. The real partition is the PDBBIND_SPLITS row below
PDBBIND_SPLITS/pdbbind_{train,val}_full.csv	the 4,465 / 497 refined train/val partition	partition by this study; rows from PDBbind v2020	rows not redistributable	deposit (partition only)	the deposit ships compound_id + split. Rejoin against the mirror above to recover sequences, SMILES and affinities
data/Structure_independent/DAVIS, KIBA (*.pkl)	every warm-start, cold-drug and cold-target fold: train, validation and test	folds defined by MixingDTA; rows from Davis et al. 2011 and Tang et al. 2014 via TDC	CC-BY-4.0 (TDC)	deposit	https://github.com/rokieplayer20/MixingDTA . Byte-identical to the authors' DTA_DataBase release. Pickle, not CSV, because the target sequence repeats on every row and pickle memoizes it: 28 MB against 621 MB
data/Structure_independent/DAVIS, KIBA (*.csv)	the same folds as flat four-column tables; only the test ones are pre-made	converted from the pickles above by scripts/cv/export_davis_kiba_folds.py	CC-BY-4.0 (TDC)	deposit	run that script to write the train and validation folds; it first rebuilds each CSV that already exists and refuses to run if any of them fails to match
data/Structure_independent/L{1000,3000}_casp16_test.csv	CASP16 stage-1 affinity targets converted to pKd	conversion by this study; affinities donated to CASP by Hoffmann-La Roche	Prediction Center publishes no redistribution grant	deposit (converted values)	https://predictioncenter.org/casp16/ . Raw target files stay at the Prediction Center
data/casp16_data/labels/L{1000,3000}_exper_affinity.csv	the CASP16 stage-1 experimental affinities, 17 + 123 targets, in kcal/mol	measured by Hoffmann-La Roche, released by the CASP16 Prediction Center	Prediction Center publishes no redistribution grant	deposit	24 KB, and every CASP16 number in the paper is scored against it: scripts/collect_results.py reads it directly and converts with the 300 K constant in plabench/analysis/units.py. https://predictioncenter.org/casp16/
data/casp16_data/smiles/L{1000,3000}/*.tsv	one SMILES table per CASP16 target	CASP16 target definitions, Prediction Center	same as above	deposit	read by 8 dataset configs; without it the Boltz-2 and Graph_RG CASP16 runs have no ligand
data/casp16_data/stage1_input/L{1000,3000}.txt	the CASP16 stage-1 target list and its FASTA sequences	CASP16 target definitions, Prediction Center	same as above	deposit	read by the two Boltz-2 stage-1 configs and by scripts/leakage/casp16_triple_leakage.py
data/casp16_data/stage2_input/L{1000,3000}_prepared	the experimental holo complexes CASP16 released for stage 2, 331 MB	CASP16 organizers	same as above	link	the organizers' release, not ours. No paper number needs it: configs/manifests/ records which targets each stage-2 run covered, so the collector still reports 93 of 93. The six stage-2 configs cannot be re-run without it. https://predictioncenter.org/casp16/
