Model,Key,Scope,N_total,N_series,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2
bapred,af3_chembl35_full,per_target,7650,84,1.277,1.765,0.149,0.128,0.089,0.544,0.041
flowdock,af3_chembl35_full,per_target,7650,84,1.351,2.133,0.155,0.143,0.1,0.55,0.055
bapred,af3_chembl35_multimer,per_target,78,2,1.488,2.382,0.136,0.119,0.094,0.547,0.005
flowdock,af3_chembl35_multimer,per_target,78,2,1.468,2.276,-0.16,-0.224,-0.164,0.417,-0.006
boltz2,boltz2_chembl35_full,per_target,7650,84,1.287,1.805,0.335,0.325,0.227,0.614,0.118
flowr_root,flowr_root_af3_chembl35_full,per_target,7650,84,0.903,0.876,0.441,0.421,0.301,0.651,0.21
flowr_root,flowr_root_chembl35_multimer,per_target,78,2,1.085,1.302,-0.141,-0.143,-0.103,0.448,-0.004
haiping,haiping_af3_chembl35_full,per_target,7650,84,1.335,1.929,0.113,0.095,0.065,0.532,0.038
haiping,haiping_chembl35_multimer,per_target,78,2,1.53,2.442,-0.072,-0.101,-0.078,0.46,-0.08
mfe,mfe_af3_chembl35_full,per_target,7650,84,1.262,1.74,0.168,0.144,0.099,0.55,0.057
mfe,mfe_chembl35_multimer,per_target,78,2,1.671,2.837,-0.006,-0.008,-0.01,0.495,-0.003
deepdta,sequence_chembl35_full,per_target,7650,84,1.471,2.415,0.13,0.129,0.089,0.545,0.043
llf,sequence_chembl35_full,per_target,7650,84,1.465,2.508,0.194,0.192,0.131,0.566,0.061
mixingdta,sequence_chembl35_full,per_target,7650,84,1.287,1.815,0.145,0.135,0.094,0.547,0.056
bapred,af3_casp16_stage1,series_group,140,2,0.936,0.879,0.547,0.554,0.394,0.698,0.298
flowdock,af3_casp16_stage1,series_group,140,2,1.202,1.467,0.423,0.448,0.318,0.66,0.156
flowr_root,af3_casp16_stage1,series_group,140,2,0.893,0.809,0.608,0.607,0.438,0.72,0.383
boltz2,boltz2_casp16,series_group,140,2,0.974,0.961,0.655,0.635,0.458,0.73,0.321
bapred,boltz2_casp16_stage1,series_group,140,2,1.004,1.01,0.468,0.43,0.303,0.652,0.175
flowdock,boltz2_casp16_stage1,series_group,140,2,1.158,1.359,0.451,0.443,0.31,0.655,0.171
haiping,casp16_stage2,series_group,110,2,1.139,1.297,0.494,0.534,0.369,0.685,0.18
bapred,experimental_casp16_stage2,series_group,110,2,1.017,1.035,0.418,0.417,0.293,0.647,0.169
flowdock,experimental_casp16_stage2,series_group,110,2,1.129,1.287,0.468,0.52,0.344,0.672,0.154
haiping,haiping_af3_casp16_stage1,series_group,140,2,1.05,1.103,0.555,0.604,0.42,0.711,0.272
mfe,mfe_af3_casp16_stage1,series_group,140,2,1.159,1.343,0.579,0.563,0.392,0.696,0.308
mfe,mfe_casp16_stage1,series_group,140,2,1.114,1.246,0.397,0.413,0.288,0.644,0.133
mfe,mfe_casp16_stage2,series_group,110,2,1.168,1.368,0.505,0.499,0.36,0.681,0.278
deepdta,sequence_casp16,series_group,140,2,1.228,1.514,0.402,0.442,0.311,0.656,0.175
llf,sequence_casp16,series_group,140,2,1.705,3.039,0.447,0.444,0.314,0.657,0.206
mixingdta,sequence_casp16,series_group,140,2,1.027,1.117,0.514,0.529,0.373,0.687,0.29
