Target_class,n_targets,n_compounds,Boltz2,FlowDock,FLOWR.ROOT,Graph_RG,LCDD team,MFE,Deepdta,LLF,Mixingdta
Kinase,23,1949,0.3596,0.1566,0.4747,0.1224,0.1544,0.2095,0.1127,0.1753,0.1619
Transferase,6,1103,0.3221,0.1243,0.3938,0.1108,0.2017,0.1298,0.2184,0.265,0.1226
Lyase,5,1034,0.3102,0.1602,0.5021,0.202,0.1762,0.1196,0.142,0.1201,0.2453
Epigenetic regulator,8,976,0.4822,0.1413,0.4756,0.1144,0.1647,0.1887,0.1098,0.2956,0.1227
Family A G protein-coupled receptor,14,721,0.4316,0.0535,0.5237,0.0874,-0.0199,0.1464,0.0674,0.2854,0.0955
Hydrolase,8,691,0.2486,0.2084,0.4321,-0.0256,0.2566,0.2366,0.1728,0.2063,0.1385
Oxidoreductase,4,293,0.2094,0.3402,0.4899,0.1244,0.0647,0.134,0.0093,-0.0823,0.0195
Transcription factor,5,209,-0.2046,0.0928,0.0219,0.0013,-0.0957,0.1522,-0.2814,-0.1389,-0.2404
Unclassified protein,4,205,0.2573,0.1415,0.3141,0.2145,0.1825,0.1141,0.3379,0.3063,0.3318
Ion channel,2,152,0.2015,-0.0985,0.0699,-0.0139,-0.0496,-0.0635,0.0374,-0.0046,0.0655
Other nuclear protein,1,94,0.801,0.753,0.878,0.443,0.745,0.741,0.785,0.792,0.833
Transporter,1,83,0.153,0.436,0.263,0.126,-0.088,0.054,-0.029,0.104,0.013
Protease,2,79,0.5178,0.1618,0.459,0.2133,0.1619,0.0114,0.2474,0.4018,0.3343
Cytochrome p450,1,56,-0.582,-0.746,-0.325,-0.734,-0.561,-0.556,-0.687,-0.613,-0.729
Phosphatase,1,42,0.436,0.676,0.598,0.477,0.583,0.542,0.584,0.055,0.689
